Bank,CSFBGA285,r0.2.1 25F Schematic,25F Function,Dual Function,85F Function
0,A10,NC,PT27B,PCLKC0_1,PT63B
0,A11,NC,PT27A,PCLKT0_1,PT63A
0,B10,IO_5 (Feather),PT29A,PCLKT0_0,PT65A
0,B11,NC,PT4A,,PT4A
0,C10,IO_SDA (**Feather**),PT29B,PCLKC0_0,PT65B
0,C11,NC,PT4B,,PT4B
1,A8,IO_11 (Feather),PT35B,PCLKC1_0,PT71B
1,A9,REF_CLK (wired to OSC1 OUT),PT35A,PCLKT1_0,PT71A
1,B8,IO_10 (Feather),PT67A,,PT121A
1,B9,IO_6 (Feather),PT33A,PCLKT1_1,PT69A
1,C8,IO_9 (Feather),PT67B,,PT121B
1,C9,IO_SCL (**Feather**),PT33B,PCLKC1_1,PT69B
2,A2,RAM_A14,PR20C,GR_PCLK2_0,PR41C
2,A3,RAM_A3,PR20A,GR_PCLK2_1,PR41A
2,A4,RAM_A4,PR11B,,PR20B
2,A6,RAM_BA2,PR11A,,PR20A
2,A7,RAM_A10,PR8B,,PR17B
2,B1,RAM_A8,PR23B,PCLKC2_1,PR44B
2,B2,RAM_A7,PR20B,,PR41B
2,B4,wired to ECP5_VREF,PR14C,VREF1_2,PR35C
2,B6,RAM_A12,PR8A,,PR17A
2,B7,RAM_BA1,PR2B,,PR11B
2,C1,RAM_A13,PR23C,PCLKT2_0,PR44C
2,C2,RAM_A11,PR17B,,PR38B
2,C3,RAM_A6,PR14D,,PR35D
2,C4,RAM_A0,PR14B,,PR35B
2,C6,wired to P1.35V,PR5B,,PR14B
2,C7,RAM_A15,PR2A,,PR11A
2,D1,RAM_A9,PR23D,PCLKC2_0,PR44D
2,D2,RAM_A1,PR23A,PCLKT2_1,PR44A
2,D3,RAM_A2,PR17A,,PR38A
2,D4,RAM_A5,PR14A,,PR35A
2,D6,RAM_BA0,PR5A,,PR14A
3,F1,ADC_CTRL1,PR35C,,PR56C
3,F2,ADC_MUX2,PR32A,,PR53A
3,F3,ADC_MUX1,PR26D,PCLKC3_0,PR47D
3,F4,ADC_MUX0,PR26C,PCLKT3_0,PR47C
3,G1,ADC_CTRL0,PR32B,,PR53B
3,G3,ADC_SENSE_LO,PR29B,,PR50B
3,G4,IO_A4 (Feather),PR26B,PCLKC3_1,PR47B
3,H1,ADC_MUX3,PR35D,,PR56D
3,H2,IO_12 (Feather),PR29D,,PR50D
3,H3,ADC_SENSE_HI,PR29A,GR_PCLK3_0,PR50A
3,H4,IO_A3 (Feather),PR26A,PCLKT3_1,PR47A
3,J1,SD0_DAT0 (microSD; 3.3V pullup),PR35B,VREF1_3,PR56B
3,J2,IO_13 (Feather),PR35A,,PR56A
3,J3,LED_B (**LED***),PR29C,GR_PCLK3_1,PR50C
3,K1,SD0_CLK (microSD),PR41D,,PR86D
3,K2,SD0_CMD (microSD; 3.3V pullup),PR44A,,PR89A
3,K3,SD0_DAT1 (microSD; 3.3V pullup),PR41C,,PR86C
3,K4,LED_R (**LED**),PR38A,,PR83A
3,L1,SD0_CD (microSD; 3.3V pullup),PR44B,,PR89B
3,L3,SD0_DAT2 (microSD; 3.3V pullup),PR41B,,PR86B
3,L4,IO_A0 (Feather),PR38B,,PR83B
3,M1,SD0_DAT3 (microSD; pullup???),PR47C,LRC_GPLL0T_IN,PR92C
3,M2,USB_D- (**USB**),PR44C,,PR89C
3,M3,LED_G (**LED**),PR41A,,PR86A
3,N1,USB_D+ (**USB**),PR47D,LRC_GPLL0C_IN,PR92D
3,N2,USB_PULLUP (**USB**),PR44D,,PR89D
3,N3,IO_A1 (Feather),PR38D,,PR83D
3,N4,IO_A2 (Feather),PR38C,,PR83C
6,C18,RAM_D13,PL26B,PCLKC6_1,PL47B
6,D17,wired to P1.35V,PL26A,PCLKT6_1,PL47A
6,D18,RAM_CKE,PL26C,PCLKT6_0,PL47C
6,F15,RAM_D11,PL29C,GR_PCLK6_1,PL50C
6,F16,RAM_D9,PL29B,,PL50B
6,F17,RAM_D8,PL29A,GR_PCLK6_0,PL50A
6,F18,RAM_D15,PL26D,PCLKC6_0,PL47D
6,G15,RAM_D10,PL35A,,PL56A
6,G16,RAM_LDM,PL29D,,PL50D
6,G18,RAM_LDQS+,PL32A,,PL53A
6,H15,wired to ECP5_VREF,PL35B,VREF1_6,PL56B
6,H16,RAM_D14,PL35C,,PL56C
6,H17,RAM_LDQS-,PL32B,,PL53B
6,H18,NC,PL38D,,PL83D
6,J16,RAM_D12,PL35D,,PL56D
6,J17,USER_BUTTON (1.35V pullup),PL38C,,PL83C
6,J18,RAM_CK+,PL41A,,PL86A
6,K15,wired to P1.35V,PL41D,,PL86D
6,K16,wired to P1.35V,PL41C,,PL86C
6,K17,wired to P1.35V,PL44A,,PL89A
6,K18,RAM_CK-,PL41B,,PL86B
6,L15,wired to GND,PL44C,,PL89C
6,L16,wired to GND,PL44D,,PL89D
6,L18,RAM_RESET# (**DRAM Power**),PL44B,,PL89B
6,M16,EXT_PLL+,PL47C,LLC_GPLL0T_IN,PL92C
6,M17,EXT_PLL-,PL47D,LLC_GPLL0C_IN,PL92D
7,A12,RAM_CS#,PL5A,,PL14A
7,A13,RAM_D7,PL14B,,PL35B
7,A15,RAM_D4,PL14D,,PL35D
7,A16,RAM_UDQS-,PL20B,,PL41B
7,A17,RAM_D6,PL23A,PCLKT7_1,PL44A
7,B12,RAM_WE#,PL2B,,PL11B
7,B13,RAM_D5,PL14A,,PL35A
7,B15,RAM_UDQS+,PL20A,GR_PCLK7_1,PL41A
7,B17,RAM_D2,PL23B,PCLKC7_1,PL44B
7,B18,wired to P1.35V,PL23C,PCLKT7_0,PL44C
7,C12,RAM_RAS#,PL2A,,PL11A
7,C13,RAM_ODT (**DRAM Power**),PL8B,,PL17B
7,C15,wired to ECP5_VREF,PL14C,VREF1_7,PL35C
7,C16,RAM_D3,PL20C,GR_PCLK7_0,PL41C
7,C17,RAM_D0,PL23D,PCLKC7_0,PL44D
7,D13,RAM_CAS#,PL8A,,PL17A
7,D15,RAM_D1,PL17A,,PL38A
7,D16,RAM_UDM,PL17B,,PL38B
8,M18,IO_1 (**Feather TX**),PB6B,D4/MOSI2/IO4,PB6B
8,N15,IO_MISO (Feather),PB4A,D7/IO7,PB4A
8,N16,IO_MOSI (Feather),PB4B,D6/IO6,PB4B
8,N17,IO_0 (**Feather RX**),PB6A,D5/MISO2/IO5,PB6A
8,N18,QSPI_D3,PB9A,D3/IO3,PB9A
8,R16,NC,PB18A,WRITEN,PB18A
8,R17,IO_SCK (Feather),PB13A,SN/CSN,PB13A
8,R18,QSPI_D2,PB9B,D2/IO2,PB9B
8,T14,wired to P3.3V (**Config**),CFG_1,,CFG_1
8,T15,FPGA_RESET (see V17; 3.3V pullup),PROGRAMN,,PROGRAMN
8,T17,IO_A5 (Feather),PB13B,CS1N,PB13B
8,T18,SPI_CONFIG_MISO,PB11A,D1/MISO/IO1,PB11A
8,U14,wired to GND (**Config**),CFG_0,,CFG_0
8,U15,NC,DONE,,DONE
8,U16,SPI_CONFIG_SCK (3.3V pullup),CCLK,MCLK/SCK,CCLK
8,U17,SPI_CONFIG_SS (3.3V pullup),PB15A,HOLDN/DI/BUSY/...,PB15A
8,U18,SPI_CONFIG_MOSI,PB11B,D0/MOSI/IO0,PB11B
8,V15,wired to GND (**Config**),CFG_2,,CFG_2
8,V16,NC,INITN,,INITN
8,V17,FPGA_RESET (see T15; 3.3V pullup),PB15B,DOUT/CSON,PB15B
40,T13,JTAG_TDI,TDI,,TDI
40,U13,JTAG_TCK (pulldown),TCK,,TCK
40,V13,JTAG_TMS,TMS,,TMS
40,V14,JTAG_TDO,TDO,,TDO
